Lethal Company,8.50,8.50,98,148630,Overwhelmingly Positive,2023-10-23
Baldur's Gate 3,49.99,49.99,96,447993,Overwhelmingly Positive,2023-08-03
Counter-Strike 2,0.00,0.00,87,7794022,Very Positive,2012-08-21
House Flipper 2,32.49,29.24,83,1792,Very Positive,2023-12-14
Rust,34.99,17.49,87,820392,Very Positive,2018-02-08
THE FINALS,0.00,0.00,74,66318,Mostly Positive,2023-12-07
Red Dead Redemption 2,59.99,19.79,91,460682,Very Positive,2019-12-05
"Warhammer 40,000: Rogue Trader",42.99,42.99,76,4420,Mostly Positive,2023-12-07
Grand Theft Auto V,39.98,14.99,86,1543584,Very Positive,2015-04-13
Football Manager 2024,44.99,44.99,87,3771,Very Positive,2023-11-06
Ready or Not,44.99,44.99,90,109049,Very Positive,2023-12-13
Dota 2,0.00,0.00,82,2135105,Very Positive,2013-07-09
Path of Exile,0.00,0.00,88,213024,Very Positive,2013-10-23
Tom Clancy's Rainbow Six® Siege,16.99,16.99,86,1021124,Very Positive,2015-12-01
Forza Horizon 5,49.99,24.99,88,139876,Very Positive,2021-11-08
The Sims™ 4,0.00,0.00,87,120699,Very Positive,2020-06-18
Dead by Daylight,14.99,14.99,80,506295,Very Positive,2016-06-14
God of War,39.99,19.99,96,81073,Overwhelmingly Positive,2022-01-14
DAVE THE DIVER,16.99,13.59,97,76394,Overwhelmingly Positive,2023-06-28
Destiny 2,0.00,0.00,80,576872,Very Positive,2019-10-01
Lost Ark,0.00,0.00,71,197135,Mostly Positive,2022-02-11
Apex Legends™,0.00,0.00,79,770194,Mostly Positive,2020-11-04
Resident Evil 4,49.99,24.99,97,73084,Overwhelmingly Positive,2023-03-23
Hunt: Showdown,35.99,12.59,83,147054,Very Positive,2019-08-27
theHunter: Call of the Wild™,19.99,2.99,88,121376,Very Positive,2017-02-16
Planet Zoo,34.99,8.74,90,62359,Very Positive,2019-11-05
Granblue Fantasy Versus: Rising,39.99,39.99,80,967,Very Positive,2023-12-13
Team Fortress 2,0.00,0.00,93,1015446,Very Positive,2007-10-10
New World,32.99,32.99,70,231294,Mostly Positive,2021-09-28
Sid Meier’s Civilization® VI,49.99,4.99,85,210965,Very Positive,2016-10-20
Black Desert,8.99,0.89,76,51682,Mostly Positive,2017-05-24
FINAL FANTASY XIV Online,9.99,9.99,88,64477,Very Positive,2014-02-18
Five Nights at Freddy's: Help Wanted 2,33.50,33.50,91,955,Very Positive,2023-12-14
Against the Storm,24.99,16.24,95,16603,Overwhelmingly Positive,2023-12-08
Party Animals,15.49,10.84,74,27770,Mostly Positive,2023-09-20
Project Zomboid,16.75,16.75,94,196545,Very Positive,2013-11-08
Phasmophobia,10.99,10.99,96,517678,Overwhelmingly Positive,2020-09-18
The Elder Scrolls® Online,15.99,15.99,83,116424,Very Positive,2017-05-22
DREDGE,21.99,16.49,96,21295,Overwhelmingly Positive,2023-03-30
Stellaris,34.99,34.99,88,111261,Very Positive,2016-05-09
Mount &amp; Blade II: Bannerlord,42.99,25.79,88,182129,Very Positive,2022-10-25
FINAL FANTASY VII REMAKE INTERGRADE,69.99,34.99,89,16843,Very Positive,2022-06-17
World of Warships,0.00,0.00,77,133012,Mostly Positive,2017-11-15
RimWorld,28.49,28.49,98,147399,Overwhelmingly Positive,2018-10-17
Deep Rock Galactic,24.99,8.24,97,210593,Overwhelmingly Positive,2020-05-13
BeamNG.drive,19.49,19.49,97,197231,Overwhelmingly Positive,2015-05-29
Hearts of Iron IV,34.99,34.99,92,188743,Very Positive,2016-06-06
Yu-Gi-Oh! Master Duel,0.00,0.00,75,67470,Mostly Positive,2022-01-18
Pioneers of Pagonia,25.99,22.09,88,1152,Very Positive,2023-12-13
DayZ,33.99,33.99,75,307879,Mostly Positive,2018-12-13
Stardew Valley,10.99,10.99,98,534562,Overwhelmingly Positive,2016-02-26
Valheim,15.49,9.29,95,368391,Overwhelmingly Positive,2021-02-02
Disney Dreamlight Valley,33.49,33.49,91,13239,Very Positive,2023-12-05
Microsoft Flight Simulator 40th Anniversary Edition,59.99,59.99,78,50735,Mostly Positive,2020-08-17
Medieval Dynasty,32.98,26.38,90,28679,Very Positive,2021-09-23
The Outlast Trials,24.99,18.74,94,35789,Very Positive,2023-05-18
Death Must Die,5.89,5.89,93,5700,Very Positive,2023-11-14
Age of Empires IV: Anniversary Edition,34.99,34.99,87,45927,Very Positive,2021-10-28
No Man's Sky,49.99,24.99,77,218811,Mostly Positive,2016-08-12
Sea of Thieves 2023 Edition,34.99,34.99,90,265302,Very Positive,2020-06-03
Pathfinder: Wrath of the Righteous - Enhanced Edition,34.39,8.59,83,23998,Very Positive,2021-09-02
Crusader Kings III,41.99,41.99,92,65227,Very Positive,2020-09-01
Hogwarts Legacy,49.99,49.99,92,174620,Very Positive,2023-02-10
ELDEN RING,49.99,49.99,92,551905,Very Positive,2022-02-24
MONSTER HUNTER RISE,32.98,13.19,86,53003,Very Positive,2022-01-12
Ghostrunner 2,39.99,23.99,90,2187,Very Positive,2023-10-26
Wartales,29.99,22.49,91,20058,Very Positive,2023-04-12
Assetto Corsa,15.49,15.49,92,85688,Very Positive,2014-12-19
The Elder Scrolls V: Skyrim Special Edition,34.99,34.99,94,147918,Very Positive,2016-10-27
Forza Horizon 4,54.99,18.14,89,187721,Very Positive,2021-03-09
Last Train Home,34.99,34.99,86,1269,Very Positive,2023-11-28
NieR:Automata™,29.99,11.99,87,88438,Very Positive,2017-03-17
The Talos Principle 2,24.99,19.99,96,5562,Overwhelmingly Positive,2023-11-02
Farming Simulator 22,26.99,26.99,91,43831,Very Positive,2021-11-21
Raft,14.99,14.99,93,250107,Very Positive,2022-06-20
Train Sim World® 4,45.98,29.89,74,958,Mostly Positive,2023-09-26
